Id,Id_Hote,Nom_Hote,Quartier,Latitude,Longitude,Type,Prix,Min_nuits,Dernier_avis,Avis_par_mois,Disponibilite
159191,262565,Cal,Passy,48.86092291926053,2.2844266150146866,Entire_home/apt,299,3,2015-06-29,0.85,362
1161527,6362693,Nicolas,Passy,48.84695642651316,2.2680870537327147,Entire_home/apt,120,2,2015-05-30,0.13,244
6512098,34047343,Samir,Passy,48.85098097494525,2.273413778422505,Entire_home/apt,120,5,,,363
4993842,25746729,Sylvie,Passy,48.86848376278172,2.297604273167289,Entire_home/apt,85,7,,,212
7626063,40003538,Maïa,Passy,48.84072078492864,2.262330735085244,Entire_home/apt,60,1,,,8
5975572,29433087,Agathe,Passy,48.85714548393153,2.285941782126174,Entire_home/apt,185,4,2015-08-26,2.57,1
6245091,32423991,Guillaume,Passy,48.86403711485514,2.291096516542757,Entire_home/apt,25,1,2015-08-17,2.68,0
7089047,13307595,Alexandre,Passy,48.84642208059634,2.2665907228099766,Private_room,100,2,2015-08-30,1.09,267
5450812,17904422,Inna,Passy,48.85885115881516,2.2823614454959067,Entire_home/apt,70,6,2015-08-27,0.84,122
6498530,29049735,Ulrich,Passy,48.87503756514428,2.2850216531160137,Entire_home/apt,98,2,,,340
1242982,6774855,Julie,Passy,48.85241282002638,2.274682633789172,Entire_home/apt,250,3,2015-07-14,0.25,199
1871704,3971743,Diane,Passy,48.86604578425578,2.2873368557844422,Entire_home/apt,188,7,2014-10-24,0.14,318
3321601,16770617,Patrice Et Olivia,Passy,48.85665707080688,2.2817351594152533,Entire_home/apt,200,3,2015-08-18,0.31,146
5036645,13013633,Benjamin,Passy,48.86543527780552,2.2896680839945978,Entire_home/apt,130,5,2015-05-26,0.3,341
7313709,22288200,Jerome,Observatoire,48.84019308570874,2.323583387783186,Private_room,65,1,2015-08-27,1.87,26
7323886,17782007,Roxane,Observatoire,48.82283864939763,2.330667307341047,Private_room,52,2,,,26
7845533,41342382,Sophie,Observatoire,48.83170629710286,2.322844004359264,Private_room,50,1,,,61
6149471,31900433,Audrey,Observatoire,48.82637285836389,2.3374078222669903,Entire_home/apt,50,1,2015-06-15,0.56,105
4067451,21094314,Sabine,Observatoire,48.82508502168418,2.328329766738616,Entire_home/apt,70,3,2015-08-19,2.66,328
7159859,6669642,Marie,Observatoire,48.82760162983193,2.313734002495215,Private_room,30,1,2015-08-30,4.0,51
7945800,7351143,Soukaina,Observatoire,48.82588185674385,2.315062114528246,Entire_home/apt,60,2,,,357
3184493,13301595,Camille,Observatoire,48.82801641770656,2.322116413260857,Entire_home/apt,50,2,2015-08-25,1.37,250
949457,2237383,Jessica,Observatoire,48.84059912331232,2.3336154345394267,Entire_home/apt,75,7,2015-08-15,1.8,238
4841352,23859573,Gary,Observatoire,48.84052973975432,2.3317730800269905,Entire_home/apt,91,3,2015-07-12,1.4,365
4727445,24413722,Xavier,Observatoire,48.84147704321071,2.3226124646659296,Entire_home/apt,75,6,,,351
6231151,32329159,Jérôme,Observatoire,48.83346236435566,2.324436658059104,Entire_home/apt,65,1,2015-07-14,1.74,98
3397392,15703407,Zoé,Observatoire,48.83345548202293,2.318190331531821,Entire_home/apt,95,4,2015-08-24,1.34,191
7168906,36745209,Marie-Colombe,Observatoire,48.82522320063379,2.3269050524989856,Entire_home/apt,65,1,,,88
4983824,25691473,Iftah,Observatoire,48.83276305347906,2.314922665701284,Entire_home/apt,59,2,2015-06-26,1.21,345
6694976,33033549,Constance,Observatoire,48.82974392249528,2.315600162831873,Entire_home/apt,50,7,,,90
729071,3786221,Micheline,Observatoire,48.83997946972976,2.3336927986421494,Entire_home/apt,117,4,2015-07-06,0.7,352
7294846,34764075,Sybille,Observatoire,48.824787663450834,2.329511760138012,Entire_home/apt,50,3,,,28
7283935,31514758,Micol,Observatoire,48.82765626708274,2.328631148867564,Entire_home/apt,45,1,,,243
6253930,6587117,,Observatoire,48.83310180227046,2.3225791384187806,Entire_home/apt,59,2,,,337
696334,3565765,,Observatoire,48.8329162222725,2.3204045495002217,Entire_home/apt,60,1,2015-06-18,0.5,358
4055157,21030424,,Observatoire,48.83379523045436,2.329665872250988,Entire_home/apt,98,5,,,232
3593202,18101125,Olga,Observatoire,48.83018529902364,2.325674003699916,Entire_home/apt,105,2,2015-06-29,0.67,360
592728,2773222,Claire,Observatoire,48.82559946620162,2.31996237149464,Entire_home/apt,75,3,2015-07-02,1.02,256
7896426,41633518,Dominique,Observatoire,48.8272014576259,2.3319118156685668,Entire_home/apt,50,3,,,365
3390232,17104482,Denis,Observatoire,48.8329775627095,2.321792055467732,Entire_home/apt,89,4,2015-06-23,0.41,32
6445208,1864945,Romain,Observatoire,48.834693497377614,2.325289392245984,Entire_home/apt,59,2,2015-08-29,3.23,1
4676358,5056483,Bettina,Observatoire,48.83855630535052,2.321639533190209,Entire_home/apt,258,3,,,306
7303647,23701434,Antoine,Observatoire,48.83103828454885,2.3202251325706347,Private_room,30,2,2015-08-17,2.0,27
1880605,9787881,Véronique,Observatoire,48.82355135826559,2.3294892525039725,Entire_home/apt,79,3,2015-07-03,0.99,349
2716203,144665,Maud,Observatoire,48.83196263983383,2.32804589810481,Entire_home/apt,88,2,2015-08-21,3.79,255
7572120,23645101,Marilyn,Observatoire,48.83040788564757,2.335954482498413,Entire_home/apt,100,1,,,12
4028813,11481634,,Observatoire,48.82295192816618,2.326499499529825,Entire_home/apt,80,3,2015-07-30,0.83,55
6760121,35388698,Olivia,Observatoire,48.834991886515176,2.3267952140910744,Entire_home/apt,70,1,2015-08-12,3.39,119
5516955,25687010,Laetitia,Observatoire,48.831924128146994,2.3124409992832167,Entire_home/apt,55,3,2015-04-07,0.2,158
5378077,27880355,Yassin,Observatoire,48.82754407045483,2.3310781856691185,Private_room,38,1,2015-07-12,3.88,345
73781,371167,,Observatoire,48.82578283831285,2.331782717968045,Entire_home/apt,100,1,,,365
6488633,5719334,Vincent,Observatoire,48.831829032248784,2.322090538039311,Entire_home/apt,60,2,2015-08-24,2.0,54
6473696,1432477,FG Properties,Observatoire,48.84303233981469,2.324119849814457,Entire_home/apt,111,2,2015-06-27,0.65,0
2166696,11056375,Fiona,Observatoire,48.83326798323037,2.329087794727541,Entire_home/apt,95,1,2015-07-15,1.03,334
7693612,14216428,Remi,Observatoire,48.82450283194832,2.3258635712360487,Entire_home/apt,60,2,,,22
2377389,7016296,Antoine,Observatoire,48.842115930907966,2.3268198919408785,Entire_home/apt,139,1,2014-05-03,0.12,365
3590236,18086467,,Observatoire,48.83092854047882,2.3152834526647346,Entire_home/apt,150,1,2015-04-25,0.43,123
6071322,31514758,Micol,Observatoire,48.82916132443035,2.3272141920730154,Entire_home/apt,70,2,2015-08-14,0.56,63
3875985,7051294,Drago,Observatoire,48.83531602063557,2.3208547977513097,Entire_home/apt,50,1,2015-05-19,0.51,305
6574033,33422755,Angie,Observatoire,48.83177518600424,2.3212110200778606,Entire_home/apt,60,2,2015-08-27,1.94,349
146390,708119,,Observatoire,48.82930918730482,2.330441335520123,Entire_home/apt,80,4,2015-07-13,0.83,365
4641950,24033833,Teresa,Observatoire,48.83607845852618,2.3218165921458294,Entire_home/apt,95,3,2015-07-05,3.03,248
928849,4999969,Pierre,Observatoire,48.83698441721634,2.3205744042610776,Private_room,54,3,2015-06-14,1.77,6
5200961,26903967,Laure,Observatoire,48.842954510033806,2.3246638414216605,Entire_home/apt,115,7,2015-06-20,1.04,351
7912835,41722070,Alex,Observatoire,48.8314209615851,2.327307358064328,Entire_home/apt,50,2,,,63
6788688,35540187,Caro,Observatoire,48.83187181842607,2.3211767843590363,Entire_home/apt,45,7,2015-07-12,0.56,312
6725268,29919086,M,Observatoire,48.8272600739135,2.311963318285101,Entire_home/apt,53,7,,,365
2894520,3934464,Julie,Observatoire,48.83380658089625,2.3224661297800058,Entire_home/apt,75,2,2015-06-21,1.76,306
6919384,8788200,Yanael,Observatoire,48.83357424141933,2.326563660480584,Entire_home/apt,60,3,,,3
7224456,17836588,Annie,Observatoire,48.83425369109021,2.3264116341418988,Private_room,70,1,,,128
7944884,21074853,Fanny,Observatoire,48.83515762717317,2.324232374750044,Entire_home/apt,85,1,,,81
7152174,37457367,Jean-Louis,Observatoire,48.832047457739925,2.319493642625105,Entire_home/apt,220,5,2015-08-20,4.04,44
2227962,7339183,Eitan,Observatoire,48.82817980710702,2.336036161805588,Entire_home/apt,65,3,2015-09-01,0.63,244
5915132,8967843,Nicolas,Observatoire,48.82846452313765,2.3161039870622417,Entire_home/apt,62,1,2015-07-11,1.86,363
3140705,3318890,Michel,Observatoire,48.837376978580416,2.323301505154112,Entire_home/apt,150,7,,,336
6177069,32043567,Christine,Observatoire,48.82676322329621,2.3138932554968923,Entire_home/apt,80,7,2015-07-04,0.48,105
7153618,7969855,Mathieu,Observatoire,48.83204977760328,2.336854644383558,Entire_home/apt,65,2,2015-08-31,2.35,37
6893686,36123299,Marie-Laure,Observatoire,48.83358843417008,2.323657664608733,Entire_home/apt,190,1,2015-08-17,1.71,346
6155774,12398954,Philippe,Popincourt,48.869515281586,2.376449793705389,Private_room,75,1,2015-05-22,0.29,363
5563959,12440033,Eugénie,Popincourt,48.8684322390777,2.374352381288765,Entire_home/apt,74,2,2015-08-18,5.13,11
4446822,6024653,Rémi,Popincourt,48.86852295788784,2.377790338401249,Entire_home/apt,60,2,2015-08-12,2.77,217
7787984,40981675,Alberto,Popincourt,48.86612608315517,2.383121849558105,Entire_home/apt,65,2,,,258
3111587,7913151,Joseph,Popincourt,48.869744992918605,2.371288073113341,Entire_home/apt,50,7,2015-08-02,0.34,247
4748177,24505750,Sandra,Popincourt,48.86154587555612,2.3865672689035446,Entire_home/apt,80,2,2015-08-19,1.2,249
4536865,2924360,Aline,Popincourt,48.85130542808596,2.3853311602309053,Shared_room,30,3,2014-12-20,0.12,340
